Tweet_Count,User_Name,Tweet_Text,Created_At,Retweet_Count,Favorite_Count
11,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"RT @Money9794: @lidangzzz Iowa本身确实没有影响力，作为川普10+红州，双方阵营都觉得没必要去做活动。但是正因为如此，Iowa如果翻蓝，或者接近，都暗示着这次大选选民发生了巨大的结构性变化。
推荐大家看一下这篇文章：
https://t.co/BQK…",Sun Nov 03 08:20:08 +0000 2024,4,0
12,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"如果像Selzer所说，红州的中年女性开始集体站Harris，导致一个传统红州直接翻蓝，

那绝对是一个风向性、结构性的趋势，就不是Iowa一个州的问题，应该是一大批比Iowa更摇摆的州全部翻蓝了，

不然你很难解释，为什么其他州中年女性还在站Trump，而Iowa中年女性集体翻蓝，是Iowa州内自己有什么幺蛾子。",Sun Nov 03 08:19:42 +0000 2024,6,73
13,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"无论在姜萍事件前，还是曝光后，我都跟你们反复强调两个道理：

1. 数学家也许会被打压，但是在中国，少年数学天才是极难被埋没的。

任何数学能考进前三名的小学生，都会被老师拉着补课，做小学数学竞赛模拟卷，一旦有苗头就会被老师拉着开小灶，这种筛选制度导致少年数学天才几乎会被完整筛选出来；

2. 王志安就是个纯种大傻逼，我讲过很多次了，这个人没有非常坏，但是极其愚蠢，且拥有着和他的智商不成正比的自负，建议早点拉黑这个臭傻逼。",Sun Nov 03 06:10:26 +0000 2024,41,967
14,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,RT @Heisenberg_Wei: 此条新闻再次证明了两件事，一是立党的发言有极高的可信度，二是能再次确信王菊花就是一坨shit，他说的话基本可以等于放屁 https://t.co/kLWQFjPpU3,Sun Nov 03 04:46:44 +0000 2024,5,0
15,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,解答世间万物（不要用蓝牙耳机） https://t.co/So0OBrgMck,Sun Nov 03 03:20:12 +0000 2024,0,16
16,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"11月2日，RCP民调集合，

Harris不仅丢掉了所有摇摆州，并且在全国民调中输了Trump。

不过这些民调几乎全都是一家叫做Atlas Intel的公司出的，可以证明这家公司的民调是虚假数据，可以剔除掉了。 https://t.co/mszhU5xGDr",Sun Nov 03 03:17:55 +0000 2024,10,213
17,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"阿里官宣姜萍作弊，

你们问问王志安打脸吗🤣 https://t.co/bykRnzFbol",Sun Nov 03 02:55:16 +0000 2024,53,826
18,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"Sam Altman：o2可以在GPQA里拿到105

（GPQA是一套难度极大的题目，GPT-4只能拿到40分）",Sat Nov 02 21:15:40 +0000 2024,2,58
19,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"我最近一直在用cerebras，给我的感受就是两个字，震惊——震惊程度不亚于我第一次用Groq，

在OpenAI还在每秒钟吐2行字的时候，groq能做到1000 tokens/second，而cerebras能做到了2600 tokens/second（假定都是70b模型），

OpenAI还在一行行出字符，Groq几乎是在爆屏，而Cerebras完全是一秒出几屏。

一堆大傻逼会教育你说，“200 tokens/second就足够用了，再快多少倍，都是一丁点用都没有”，

我强烈建议你，不要理这些人，拿他们当大傻逼就好了。",Fri Nov 01 23:06:58 +0000 2024,93,582
20,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,解答世间万物（不要用蓝牙耳机） https://t.co/aVUkySxuQP,Sat Nov 02 13:38:16 +0000 2024,0,7
